session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
6218f0aac3e774e03b58bc77,606593df51c4839f3bf4cf68,AWAITING REVIEW,2022-02-25 15:07:22.598000,2022-02-25 15:22:53.026000,930.428,22,88,1,100,,4A0A6BF5,Spain,Spain,Other,Spanish,"Catalan, Spanish, English",Spain,Male,Yes,Yes
6218f0aed8f34f6501c36373,5f05ec09859dcb0db95b47a3,AWAITING REVIEW,2022-02-25 15:07:26.886000,2022-02-25 15:27:15.196000,1188.31,56,171,1,100,,4A0A6BF5,Greece,Greece,DATA EXPIRED,Greek,"Greek, English",Greece,Female,DATA EXPIRED,Yes
6218f0afa1f0e46b2b112e1a,602ad4a0805527185ca10247,AWAITING REVIEW,2022-02-25 15:07:33.870000,2022-02-25 15:26:26.268000,1132.398,24,129,1,100,,4A0A6BF5,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,No,Yes
6218f0b8ba5e60846e828770,60e5ccdf4263ab147e71b284,AWAITING REVIEW,2022-02-25 15:07:36.605000,2022-02-25 15:28:20.304000,1243.699,38,73,0,100,,4A0A6BF5,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Portugal,Male,DATA EXPIRED,Yes
6218f0baf8eb6d626eb80e55,5cade3ea22389a00178ea182,AWAITING REVIEW,2022-02-25 15:10:04.674000,2022-02-25 15:38:34.439000,1709.765,19,60,1,100,,4A0A6BF5,Poland,Poland,Part-Time,Polish,"English, Polish",Poland,Male,Yes,Yes
6218f0c0fdf2c646f02adf03,5f3cc81cd1a0bdb6f4ae8327,AWAITING REVIEW,2022-02-25 15:07:44.269000,2022-02-25 16:00:25.116000,3160.847,20,97,0,100,,4A0A6BF5,Poland,Poland,Other,Polish,"English, Polish",Poland,Male,No,Yes
6218f0c165198fee36ff8348,5f333f95340ff51404867ce9,AWAITING REVIEW,2022-02-25 15:08:58.330000,2022-02-25 15:36:10.890000,1632.56,21,40,1,100,,4A0A6BF5,Mexico,Mexico,Other,Spanish,"English, Spanish",Mexico,Female,Yes,Yes
6218f0c55538ac1f09404aa6,5ea152aca876c6000aa73a2a,AWAITING REVIEW,2022-02-25 15:07:49.260000,2022-02-25 15:38:23.765000,1834.505,25,256,1,100,,4A0A6BF5,Poland,Poland,Unemployed (and job seeking),Polish,"English, German, Polish",Poland,Female,Yes,Yes
6218f0d5428c5181d244204a,6048a84ab04517514f665206,AWAITING REVIEW,2022-02-25 15:08:05.773000,2022-02-25 15:23:06.439000,900.666,20,100,0,100,,4A0A6BF5,Greece,Greece,Part-Time,Greek,"English, Greek",Greece,Female,Yes,Yes
6218f0dcbf5da19a6a587041,5e6790c8b0255a029b78b3ee,AWAITING REVIEW,2022-02-25 15:08:12.386000,2022-02-25 15:24:17.906000,965.52,23,85,0,100,,4A0A6BF5,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,Yes,Yes
6218f0e6e265419eadda82aa,5cb5d90dc591ee0014b81cec,RETURNED,2022-02-25 15:08:22.063000,,246159.383608,21,67,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f0e9d91c14fb3af54612,602d86345f6c24812bfc3a4e,AWAITING REVIEW,2022-02-25 15:08:45.573000,2022-02-25 15:33:06.134000,1460.561,23,59,0,100,,4A0A6BF5,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Male,No,Yes
6218f0f309e9f79dcf47aea9,5eacb952f2859100093a61df,AWAITING REVIEW,2022-02-25 15:08:35.045000,2022-02-25 15:37:51.511000,1756.466,23,174,1,100,,4A0A6BF5,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"English, Portuguese",Portugal,Male,No,Yes
6218f0f4a44553e8d6ee47c2,5ea899faa346d22f03047db3,AWAITING REVIEW,2022-02-25 15:08:36.800000,2022-02-25 15:23:03.494000,866.694,24,181,2,100,,4A0A6BF5,Russian Federation,Italy,Unemployed (and job seeking),Italian,"Italian, English, French",Russian Federation,Male,No,Yes
6218f0f7956d25e22a3d8079,60dd92b16401f2de6f7c6d0a,RETURNED,2022-02-25 15:08:39.070000,,246142.489211,23,21,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6218f0f819b9ceef93f79193,602445b2bde34010a48b49a8,AWAITING REVIEW,2022-02-25 15:08:40.071000,2022-02-25 15:30:07.192000,1287.121,23,97,1,100,,4A0A6BF5,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish, Galician",Portugal,Female,Yes,Yes
6218f0f82a4bb3cb25281d71,60bfbf3ea56be92d181d6bbb,AWAITING REVIEW,2022-02-25 15:08:40.438000,2022-02-25 15:31:31.435000,1370.997,20,90,1,100,,4A0A6BF5,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Portugal,Female,Yes,Yes
6218f0faedd8124e7182f8c6,5ec07ffef7362b0f1a6357aa,AWAITING REVIEW,2022-02-25 15:08:42.413000,2022-02-25 15:30:17.102000,1294.689,35,187,1,100,,4A0A6BF5,Spain,Spain,Full-Time,Spanish,"English, Catalan, Spanish",Spain,Male,Yes,Yes
